Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
4.66667e+09,Capacitance,2.58557e-12,-3.47904e-13,2.58557e-12
4.74e+09,Resistance,1.26918,0.0370199,1.26918
4.74e+09,Inductance,6.28211e-09,8.41677e-10,6.28211e-09
4.74e+09,Conductance,0.00164616,-0.000232303,0.00164616
4.74e+09,Capacitance,2.58558e-12,-3.479e-13,2.58558e-12
4.81333e+09,Resistance,1.27896,0.0373427,1.27896
4.81333e+09,Inductance,6.28183e-09,8.41676e-10,6.28183e-09
4.81333e+09,Conductance,0.00167084,-0.000235727,0.00167084
4.81333e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
4.88667e+09,Resistance,1.28871,0.0378139,1.28871
4.88667e+09,Inductance,6.28157e-09,8.41671e-10,6.28157e-09
4.88667e+09,Conductance,0.00169552,-0.000239209,0.00169552
4.88667e+09,Capacitance,2.58557e-12,-3.47904e-13,2.58557e-12
4.96e+09,Resistance,1.29836,0.0382069,1.29836
4.96e+09,Inductance,6.28132e-09,8.41663e-10,6.28132e-09
4.96e+09,Conductance,0.00172019,-0.000242658,0.00172019
4.96e+09,Capacitance,2.58557e-12,-3.47903e-13,2.58557e-12
5.03333e+09,Resistance,1.30789,0.0381338,1.30789
5.03333e+09,Inductance,6.28108e-09,8.41654e-10,6.28108e-09
5.03333e+09,Conductance,0.00174483,-0.000245914,0.00174483
5.03333e+09,Capacitance,2.58558e-12,-3.47903e-13,2.58558e-12
5.10667e+09,Resistance,1.31743,0.038485,1.31743
5.10667e+09,Inductance,6.28085e-09,8.41644e-10,6.28085e-09
5.10667e+09,Conductance,0.00176947,-0.000249341,0.00176947
5.10667e+09,Capacitance,2.58558e-12,-3.47901e-13,2.58558e-12
5.18e+09,Resistance,1.32684,0.0388974,1.32684
5.18e+09,Inductance,6.2806e-09,8.41642e-10,6.2806e-09
5.18e+09,Conductance,0.00179414,-0.000252801,0.00179414
5.18e+09,Capacitance,2.58557e-12,-3.47903e-13,2.58557e-12
5.25333e+09,Resistance,1.33625,0.0390809,1.33625
5.25333e+09,Inductance,6.28037e-09,8.41633e-10,6.28037e-09
5.25333e+09,Conductance,0.00181875,-0.000256156,0.00181875
5.25333e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
5.32667e+09,Resistance,1.34554,0.039153,1.34554
5.32667e+09,Inductance,6.28015e-09,8.41626e-10,6.28015e-09
5.32667e+09,Conductance,0.00184336,-0.000259468,0.00184336
5.32667e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
5.4e+09,Resistance,1.35477,0.0394949,1.35477
5.4e+09,Inductance,6.27992e-09,8.41621e-10,6.27992e-09
5.4e+09,Conductance,0.001868,-0.000262894,0.001868
5.4e+09,Capacitance,2.58557e-12,-3.47903e-13,2.58557e-12
5.47333e+09,Resistance,1.36397,0.0398165,1.36397
5.47333e+09,Inductance,6.2797e-09,8.41614e-10,6.2797e-09
5.47333e+09,Conductance,0.00189262,-0.000266308,0.00189262
5.47333e+09,Capacitance,2.58557e-12,-3.47903e-13,2.58557e-12
5.54667e+09,Resistance,1.37309,0.0401079,1.37309
5.54667e+09,Inductance,6.27949e-09,8.41608e-10,6.27949e-09
5.54667e+09,Conductance,0.00191723,-0.00026971,0.00191723
5.54667e+09,Capacitance,2.58557e-12,-3.47902e-13,2.58557e-12
5.62e+09,Resistance,1.38215,0.0402765,1.38215
5.62e+09,Inductance,6.2793e-09,8.41601e-10,6.2793e-09
5.62e+09,Conductance,0.00194183,-0.00027306,0.00194183
5.62e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
5.69333e+09,Resistance,1.39118,0.0405895,1.39118
5.69333e+09,Inductance,6.2791e-09,8.41595e-10,6.2791e-09
5.69333e+09,Conductance,0.00196643,-0.000276466,0.00196643
5.69333e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
5.76667e+09,Resistance,1.40009,0.0407588,1.40009
5.76667e+09,Inductance,6.27888e-09,8.41589e-10,6.27888e-09
5.76667e+09,Conductance,0.00199103,-0.000279819,0.00199103
5.76667e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
5.84e+09,Resistance,1.40898,0.0410686,1.40898
5.84e+09,Inductance,6.27869e-09,8.41583e-10,6.27869e-09
5.84e+09,Conductance,0.00201562,-0.000283227,0.00201562
5.84e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
5.91333e+09,Resistance,1.4178,0.0411788,1.4178
5.91333e+09,Inductance,6.27851e-09,8.41579e-10,6.27851e-09
5.91333e+09,Conductance,0.00204019,-0.000286549,0.00204019
5.91333e+09,Capacitance,2.58558e-12,-3.47903e-13,2.58558e-12
5.98667e+09,Resistance,1.42663,0.0418022,1.42663
5.98667e+09,Inductance,6.27831e-09,8.41572e-10,6.27831e-09
5.98667e+09,Conductance,0.0020648,-0.000290085,0.0020648
5.98667e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
6.06e+09,Resistance,1.43526,0.0415866,1.43526
6.06e+09,Inductance,6.27813e-09,8.41567e-10,6.27813e-09
6.06e+09,Conductance,0.00208936,-0.000293277,0.00208936
6.06e+09,Capacitance,2.58558e-12,-3.47902e-13,2.58558e-12
6.13333e+09,Resistance,1.44402,0.0424635,1.44402
6.13333e+09,Inductance,6.27794e-09,8.4156e-10,6.27794e-09
6.13333e+09,Conductance,0.00211396,-0.000296914,0.00211396
