Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
2.98e+09,Inductance,1.13181e-08,5.94783e-10,1.13181e-08
2.98e+09,Conductance,0.00105693,-5.58426e-05,0.00105693
2.98e+09,Capacitance,2.82234e-12,-1.49024e-13,2.82234e-12
3.05333e+09,Resistance,1.8152,0.0421018,1.8152
3.05333e+09,Inductance,1.13169e-08,5.94777e-10,1.13169e-08
3.05333e+09,Conductance,0.00108282,-5.71347e-05,0.00108282
3.05333e+09,Capacitance,2.82234e-12,-1.4903e-13,2.82234e-12
3.12667e+09,Resistance,1.83656,0.0428238,1.83656
3.12667e+09,Inductance,1.13157e-08,5.94766e-10,1.13157e-08
3.12667e+09,Conductance,0.00110887,-5.85745e-05,0.00110887
3.12667e+09,Capacitance,2.82235e-12,-1.49033e-13,2.82235e-12
3.2e+09,Resistance,1.85751,0.0434274,1.85751
3.2e+09,Inductance,1.13147e-08,5.94739e-10,1.13147e-08
3.2e+09,Conductance,0.00113494,-5.99924e-05,0.00113494
3.2e+09,Capacitance,2.82235e-12,-1.49033e-13,2.82235e-12
3.27333e+09,Resistance,1.87831,0.0435676,1.87831
3.27333e+09,Inductance,1.13136e-08,5.94708e-10,1.13136e-08
3.27333e+09,Conductance,0.00116097,-6.12538e-05,0.00116097
3.27333e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
3.34667e+09,Resistance,1.89939,0.0440242,1.89939
3.34667e+09,Inductance,1.13126e-08,5.94689e-10,1.13126e-08
3.34667e+09,Conductance,0.00118687,-6.26139e-05,0.00118687
3.34667e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
3.42e+09,Resistance,1.91961,0.0446046,1.91961
3.42e+09,Inductance,1.13116e-08,5.94664e-10,1.13116e-08
3.42e+09,Conductance,0.00121299,-6.40371e-05,0.00121299
3.42e+09,Capacitance,2.82235e-12,-1.49031e-13,2.82235e-12
3.49333e+09,Resistance,1.94006,0.0452024,1.94006
3.49333e+09,Inductance,1.13107e-08,5.94653e-10,1.13107e-08
3.49333e+09,Conductance,0.00123893,-6.54186e-05,0.00123893
3.49333e+09,Capacitance,2.82234e-12,-1.49034e-13,2.82234e-12
3.56667e+09,Resistance,1.95998,0.045468,1.95998
3.56667e+09,Inductance,1.13097e-08,5.94618e-10,1.13097e-08
3.56667e+09,Conductance,0.00126498,-6.67436e-05,0.00126498
3.56667e+09,Capacitance,2.82235e-12,-1.4903e-13,2.82235e-12
3.64e+09,Resistance,1.97976,0.0460052,1.97976
3.64e+09,Inductance,1.13089e-08,5.94606e-10,1.13089e-08
3.64e+09,Conductance,0.00129099,-6.81544e-05,0.00129099
3.64e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
3.71333e+09,Resistance,1.99949,0.0465364,1.99949
3.71333e+09,Inductance,1.1308e-08,5.9459e-10,1.1308e-08
3.71333e+09,Conductance,0.00131699,-6.95327e-05,0.00131699
3.71333e+09,Capacitance,2.82235e-12,-1.49034e-13,2.82235e-12
3.78667e+09,Resistance,2.01892,0.047085,2.01892
3.78667e+09,Inductance,1.13071e-08,5.9456e-10,1.13071e-08
3.78667e+09,Conductance,0.00134301,-7.09322e-05,0.00134301
3.78667e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
3.86e+09,Resistance,2.03833,0.0474816,2.03833
3.86e+09,Inductance,1.13063e-08,5.94536e-10,1.13063e-08
3.86e+09,Conductance,0.001369,-7.22944e-05,0.001369
